service,asset_class,symbol,classification,primary_value,bid,ask,age_seconds,timestamp_utc,timestamp_source,error_type,error_message,latency_ms,rpc_calls,notes
vwap,crypto,UNISHIB,stale,1599047.561626836,,,19483.4,2026-09-24T09:18:19.995000+00:00,upstream,,,158,1,age 19483s > 300s
vwap,crypto,UNISKY,error,,,,,,,BlocksizeAPIError[-32603],internal error,169,0,
vwap,crypto,UNISNX,stale,40.36669584532185,,,143371.6,2026-09-22T22:53:32.216000+00:00,upstream,,,179,1,age 143372s > 300s
vwap,crypto,UNISOL,error,,,,,,,BlocksizeAPIError[-32603],internal error,148,0,
vwap,crypto,UNISRM,error,,,,,,,BlocksizeAPIError[-32603],internal error,159,0,
vwap,crypto,UNISTRK,error,,,,,,,BlocksizeAPIError[-32603],internal error,161,0,
vwap,crypto,UNISWAP,error,,,,,,,BlocksizeAPIError[-32603],internal error,156,0,
vwap,crypto,UNITOKE,error,,,,,,,BlocksizeAPIError[-32603],internal error,158,0,
vwap,crypto,UNITRIBE,stale,16.60030832177417,,,131491.0,2026-09-23T02:11:33.922000+00:00,upstream,,,207,1,age 131491s > 300s
vwap,crypto,UNIU,stale,9.217331751046878,,,1318.3,2026-09-24T14:21:06.856000+00:00,upstream,,,175,1,age 1318s > 300s
vwap,crypto,UNIUSD,ok,9.24728287935135,,,0.3,2026-09-24T14:43:05.069000+00:00,upstream,,,190,1,
vwap,crypto,UNIUSD1,stale,9.174,,,2469.9,2026-09-24T14:01:55.550000+00:00,upstream,,,161,1,age 2470s > 300s
vwap,crypto,UNIUSDC,ok,9.257040684234857,,,2.8,2026-09-24T14:43:02.810000+00:00,upstream,,,169,1,
vwap,crypto,UNIUSDE,stale,9.635299897236719,,,137098.0,2026-09-23T00:38:07.826000+00:00,upstream,,,182,1,age 137098s > 300s
vwap,crypto,UNIUSDG,stale,9.085466034293326,,,19786.1,2026-09-24T09:13:19.990000+00:00,upstream,,,190,1,age 19786s > 300s
vwap,crypto,UNIUSDO,ok,9.244842114874773,,,49.3,2026-09-24T14:42:16.903000+00:00,upstream,,,165,1,
vwap,crypto,UNIUSDP,stale,9.046337822377065,,,10102.6,2026-09-24T11:54:43.850000+00:00,upstream,,,173,1,age 10103s > 300s
vwap,crypto,UNIUSDS,stale,8.715986951768615,,,157484.9,2026-09-22T18:58:21.716000+00:00,upstream,,,175,1,age 157485s > 300s
vwap,crypto,UNIUSDT,ok,9.255993233919432,,,4.6,2026-09-24T14:43:02.152000+00:00,upstream,,,160,1,
vwap,crypto,UNIWAVAX,stale,0.8777663045791432,,,2259.0,2026-09-24T14:05:28.031000+00:00,upstream,,,190,1,age 2259s > 300s
vwap,crypto,UNIWBNB,error,,,,,,,BlocksizeAPIError[-32603],internal error,164,0,
vwap,crypto,UNIWBTC,ok,0.00010959878038136142,,,59.5,2026-09-24T14:42:07.904000+00:00,upstream,,,174,1,
vwap,crypto,UNIWETH,ok,0.003453307912505432,,,59.7,2026-09-24T14:42:07.904000+00:00,upstream,,,170,1,
vwap,crypto,UNIWMATIC,ok,88.07049667075395,,,112.5,2026-09-24T14:41:15.267000+00:00,upstream,,,178,1,
vwap,crypto,UNIWSOL,error,,,,,,,BlocksizeAPIError[-32603],internal error,160,0,
vwap,crypto,UNIWSTETH,error,,,,,,,BlocksizeAPIError[-32603],internal error,179,0,
vwap,crypto,UNIXAUT,stale,0.00218407025346458,,,143339.6,2026-09-22T22:54:08.798000+00:00,upstream,,,162,1,age 143340s > 300s
vwap,crypto,UNIXSUSHI,error,,,,,,,BlocksizeAPIError[-32603],internal error,165,0,
vwap,crypto,UNIXVS,error,,,,,,,BlocksizeAPIError[-32603],internal error,170,0,
vwap,crypto,UNIYFI,error,,,,,,,BlocksizeAPIError[-32603],internal error,189,0,
vwap,crypto,URAUSD,ok,41.044820720108525,,,11.4,2026-09-24T14:42:57.679000+00:00,upstream,,,157,1,
vwap,crypto,URAUSDT,ok,41.05327593111734,,,11.6,2026-09-24T14:42:57.679000+00:00,upstream,,,159,1,
vwap,crypto,USATUSD,ok,0.9993851876958774,,,6.4,2026-09-24T14:43:03.116000+00:00,upstream,,,176,1,
vwap,crypto,USATUSDT,ok,0.9995996576706503,,,6.6,2026-09-24T14:43:03.116000+00:00,upstream,,,165,1,
vwap,crypto,USD*USD,error,,,,,,,BlocksizeAPIError[-32603],internal error,150,0,
vwap,crypto,USD*USDC,error,,,,,,,BlocksizeAPIError[-32603],internal error,174,0,
vwap,crypto,USD+CBBTC,stale,1.2110976544705058e-05,,,279882.1,2026-09-21T08:58:28.140000+00:00,upstream,,,171,1,age 279882s > 300s
vwap,crypto,USD+DAI,error,,,,,,,BlocksizeAPIError[-32603],internal error,161,0,
vwap,crypto,USD+DOLA,error,,,,,,,BlocksizeAPIError[-32603],internal error,151,0,
vwap,crypto,USD+ETH,ok,0.00037377473769249856,,,8.6,2026-09-24T14:43:02.182000+00:00,upstream,,,151,1,
vwap,crypto,USD+EUR,stale,0.8798499178579156,,,4430.9,2026-09-24T13:29:20.160000+00:00,upstream,,,168,1,age 4431s > 300s
vwap,crypto,USD+EURC,stale,0.8798499178579156,,,4431.0,2026-09-24T13:29:20.160000+00:00,upstream,,,164,1,age 4431s > 300s
vwap,crypto,USD+LUSD,error,,,,,,,BlocksizeAPIError[-32603],internal error,178,0,
